Date,Time,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,precipitation (mm),cloud_cover (%),wind_speed_10m (km/h),terrestrial_radiation (W/m²),pressure_msl (hPa),soil_temperature_0_to_7cm (°C),I_CO,I_NMHC,I_C6H6,I_NOx,I_NO2,AQI,datetime
11/03/2004,14.00.00,2.9,164.0,11.5,389.15999999999997,128.0,8.0,81.1,0.8736,0.2,100,4.0,810.7,1011.8,8.8,29.0,132.36,155.9,121.15713701431493,66.5909090909091,155.9,2004-03-11 14:00:00
11/03/2004,15.00.00,2.2,79.0,8.8,345.91999999999996,126.0,8.3,79.8,0.8778,0.1,100,4.5,638.2,1011.9,9.0,22.0,79.42,138.24,116.8242944785276,65.47727272727272,138.24,2004-03-11 15:00:00
11/03/2004,16.00.00,2.2,95.0,8.3,362.84,131.0,9.7,71.2,0.8569,0.1,95,4.6,418.5,1012.3,8.8,22.0,95.1,133.34,118.51975460122699,68.26136363636363,133.34,2004-03-11 16:00:00
11/03/2004,17.00.00,2.9,150.0,11.2,456.84,135.0,9.8,67.6,0.8185,0.0,85,5.1,166.5,1012.8,8.4,29.0,125.5,154.92,127.93897750511248,70.48863636363636,154.92,2004-03-11 17:00:00
11/03/2004,18.00.00,4.8,307.0,20.8,528.28,151.0,10.3,64.2,0.8065,0.0,72,6.2,6.9,1013.5,8.0,48.0,177.215,186.28,135.09758691206542,79.39772727272727,186.28,2004-03-11 18:00:00
11/03/2004,19.00.00,6.9,461.0,27.4,720.04,172.0,9.7,69.3,0.8319,0.0,59,6.1,0.0,1014.3,7.8,69.62,216.0975,224.76,154.87676470588235,91.0909090909091,224.76,2004-03-11 19:00:00
11/03/2004,20.00.00,6.1,401.0,24.0,659.88,165.0,9.6,67.8,0.8133,0.0,44,7.3,0.0,1015.4,7.3,61.78,201.2475,196.73333333333335,148.2844989775051,87.19318181818181,201.2475,2004-03-11 20:00:00
11/03/2004,21.00.00,3.9,197.0,12.8,451.2,136.0,9.1,64.0,0.7419,0.0,25,8.6,0.0,1016.0,6.9,39.0,148.53,160.14666666666668,127.37382413087934,71.04545454545455,160.14666666666668,2004-03-11 21:00:00
11/03/2004,22.00.00,1.5,61.0,4.7,176.72,85.0,8.2,63.4,0.6905,0.0,43,9.8,0.0,1016.9,6.5,15.0,61.78,95.1,93.71909090909091,42.5,95.1,2004-03-11 22:00:00
11/03/2004,23.00.00,1.0,26.0,2.6,88.36,53.0,8.2,60.8,0.6657,0.0,59,9.4,0.0,1017.7,6.1,10.0,26.0,60.8,44.18,26.5,60.8,2004-03-11 23:00:00
12/03/2004,00.00.00,1.7,55.0,5.9,229.35999999999999,97.0,8.3,58.5,0.6438,0.0,68,8.7,0.0,1018.1,5.9,17.0,55.9,109.82000000000001,105.14445807770961,48.5,109.82000000000001,2004-03-12 00:00:00
12/03/2004,01.00.00,1.9,53.0,6.4,250.04,110.0,7.7,59.7,0.6308,0.0,66,8.2,0.0,1018.8,5.7,19.0,53.94,114.72,107.21668711656442,56.56818181818182,114.72,2004-03-12 01:00:00
12/03/2004,02.00.00,1.4,40.0,4.1,154.16,91.0,7.1,61.8,0.6276,0.0,63,8.2,0.0,1019.2,5.5,14.0,40.0,85.29999999999998,81.15727272727273,45.5,85.29999999999998,2004-03-12 02:00:00
12/03/2004,03.00.00,0.8,21.0,1.9,0.0,0.0,7.0,62.3,0.6261,0.0,79,7.2,0.0,1019.3,5.2,8.0,21.0,47.5,0.0,0.0,47.5,2004-03-12 03:00:00
12/03/2004,04.00.00,0.0,10.0,1.1,39.48,32.0,6.1,65.9,0.6248,0.0,72,7.3,0.0,1019.9,4.9,0.0,10.0,27.500000000000004,19.74,16.0,27.500000000000004,2004-03-12 04:00:00
12/03/2004,05.00.00,0.6,7.0,1.0,56.4,44.0,6.3,65.0,0.6233,0.0,63,8.1,0.0,1020.0,4.7,6.0,7.0,25.0,28.2,22.0,28.2,2004-03-12 05:00:00
12/03/2004,06.00.00,0.8,17.0,1.8,105.28,71.0,6.8,62.9,0.6234,0.0,54,8.2,55.2,1020.6,4.7,8.0,17.0,45.0,53.94,35.5,53.94,2004-03-12 06:00:00
12/03/2004,07.00.00,1.4,33.0,4.4,204.92,104.0,6.4,65.1,0.6316,0.0,47,9.3,260.4,1021.2,5.7,14.0,33.0,90.2,102.69546012269939,53.22727272727273,102.69546012269939,2004-03-12 07:00:00
12/03/2004,08.00.00,4.4,202.0,17.9,577.16,141.0,7.3,63.1,0.6499,0.0,37,10.8,503.6,1021.6,7.0,44.0,151.49,176.80666666666667,139.99558282208588,73.82954545454545,176.80666666666667,2004-03-12 08:00:00
12/03/2004,09.00.00,0.0,0.0,22.1,0.0,0.0,9.2,56.2,0.6561,0.0,45,10.1,709.0,1022.1,8.4,0.0,0.0,190.52666666666667,0.0,0.0,190.52666666666667,2004-03-12 09:00:00
12/03/2004,10.00.00,3.1,208.0,14.0,351.56,122.0,13.2,41.7,0.632,0.0,46,7.3,862.6,1022.1,10.1,31.0,152.96,164.06666666666666,117.38944785276074,63.25,164.06666666666666,2004-03-12 10:00:00
12/03/2004,11.00.00,2.7,166.0,11.6,406.08,143.0,14.3,38.4,0.6243,0.0,89,2.5,954.1,1022.2,11.8,27.0,133.34,156.22666666666666,122.85259713701431,74.94318181818181,156.22666666666666,2004-03-12 11:00:00
12/03/2004,12.00.00,2.1,114.0,10.2,268.84,113.0,15.0,36.5,0.6195,0.0,69,2.6,977.1,1021.8,13.2,21.0,107.86,151.65333333333334,109.10053169734151,58.23863636363636,151.65333333333334,2004-03-12 12:00:00
12/03/2004,13.00.00,2.5,140.0,11.0,300.79999999999995,116.0,16.1,34.5,0.6262,0.0,21,6.6,930.1,1021.7,13.9,25.0,120.6,154.26666666666668,112.30306748466258,59.90909090909091,154.26666666666668,2004-03-12 13:00:00
12/03/2004,14.00.00,2.7,169.0,12.8,306.44,123.0,16.3,35.7,0.656,0.0,28,10.3,816.4,1022.1,13.8,27.0,134.81,160.14666666666668,112.86822085889571,63.80681818181818,160.14666666666668,2004-03-12 14:00:00
12/03/2004,15.00.00,2.9,185.0,14.2,357.2,126.0,15.8,37.0,0.661,0.0,21,11.4,643.6,1022.8,13.2,29.0,142.65,164.72,117.95460122699386,65.47727272727272,164.72,2004-03-12 15:00:00
12/03/2004,16.00.00,2.8,165.0,12.7,334.64,120.0,15.9,37.2,0.6657,0.0,6,9.4,423.7,1023.1,12.2,28.0,132.85,159.82,115.69398773006135,62.13636363636363,159.82,2004-03-12 16:00:00
12/03/2004,17.00.00,2.4,133.0,11.7,282.0,119.0,16.9,34.3,0.6549,0.0,3,4.9,171.6,1023.3,10.8,24.0,117.17,156.55333333333334,110.41922290388548,61.57954545454545,156.55333333333334,2004-03-12 17:00:00
12/03/2004,18.00.00,3.9,233.0,19.3,387.28,149.0,15.1,39.6,0.6766,0.0,1,7.6,9.5,1023.6,9.5,39.0,159.085,181.38,120.96875255623722,78.2840909090909,181.38,2004-03-12 18:00:00
12/03/2004,19.00.00,3.7,242.0,18.2,379.76,145.0,14.4,43.4,0.7084,0.0,2,6.5,0.0,1024.0,8.3,37.0,161.29,177.78666666666666,120.21521472392638,76.05681818181819,177.78666666666666,2004-03-12 19:00:00
12/03/2004,20.00.00,6.6,488.0,32.6,639.1999999999999,170.0,12.9,50.5,0.7478,0.0,23,5.2,0.0,1024.5,7.2,66.67999999999999,222.78,276.24,146.2122699386503,89.97727272727272,276.24,2004-03-12 20:00:00
12/03/2004,21.00.00,4.4,333.0,20.1,515.12,149.0,12.1,53.3,0.7536,0.0,92,4.8,0.0,1024.8,6.4,44.0,183.585,183.99333333333334,133.77889570552148,78.2840909090909,183.99333333333334,2004-03-12 21:00:00
12/03/2004,22.00.00,3.5,215.0,14.3,475.64,139.0,11.0,59.1,0.774,0.0,95,5.4,0.0,1025.3,5.8,35.0,154.675,165.04666666666668,129.82282208588956,72.7159090909091,165.04666666666668,2004-03-12 22:00:00
12/03/2004,23.00.00,5.4,367.0,21.8,564.0,134.0,9.7,64.6,0.7771,0.0,83,5.8,0.0,1025.4,5.4,54.92,191.915,189.54666666666668,138.67689161554193,69.93181818181819,191.915,2004-03-12 23:00:00
13/03/2004,00.00.00,2.7,122.0,9.6,362.84,113.0,9.5,64.1,0.7597,0.0,90,5.8,0.0,1025.4,5.0,27.0,111.78,146.07999999999998,118.51975460122699,58.23863636363636,146.07999999999998,2004-03-13 00:00:00
13/03/2004,01.00.00,1.9,67.0,7.4,261.32,97.0,9.1,63.9,0.7423,0.0,92,5.4,0.0,1025.5,4.7,19.0,67.66,124.52000000000001,108.34699386503067,48.5,124.52000000000001,2004-03-13 01:00:00
13/03/2004,02.00.00,1.6,43.0,5.4,156.04,82.0,8.8,63.9,0.7256,0.0,94,6.2,0.0,1025.3,4.4,16.0,43.0,104.92,82.2040909090909,41.0,104.92,2004-03-13 02:00:00
13/03/2004,03.00.00,1.7,46.0,5.4,0.0,0.0,7.8,67.5,0.7173,0.0,96,6.2,0.0,1025.4,4.3,17.0,46.0,104.92,0.0,0.0,104.92,2004-03-13 03:00:00
13/03/2004,04.00.00,0.0,56.0,6.2,204.92,83.0,7.0,71.1,0.7158,0.0,88,5.8,0.0,1025.5,4.2,0.0,56.88,112.76,102.69546012269939,41.5,112.76,2004-03-13 04:00:00
13/03/2004,05.00.00,1.0,30.0,2.6,116.55999999999999,65.0,8.3,63.6,0.6982,0.0,89,5.8,0.0,1026.0,4.1,10.0,30.0,60.8,60.22090909090908,32.5,60.8,2004-03-13 05:00:00
13/03/2004,06.00.00,1.2,27.0,2.9,99.64,60.0,7.2,67.5,0.6887,0.0,91,5.1,59.0,1026.2,4.1,12.0,27.0,65.7,49.82,30.0,65.7,2004-03-13 06:00:00
13/03/2004,07.00.00,1.5,47.0,5.1,261.32,77.0,6.3,71.9,0.6932,0.0,95,6.5,267.9,1026.7,5.7,15.0,47.0,101.97999999999999,108.34699386503067,38.5,108.34699386503067,2004-03-13 07:00:00
13/03/2004,08.00.00,2.7,132.0,11.8,481.28,96.0,6.5,71.6,0.6945,0.0,98,4.9,510.9,1027.2,8.3,27.0,116.68,156.88,130.3879754601227,48.0,156.88,2004-03-13 08:00:00
13/03/2004,09.00.00,3.7,239.0,15.1,554.6,119.0,9.6,59.7,0.7124,0.0,100,9.1,716.1,1027.2,10.1,37.0,160.555,167.66,137.73496932515337,61.57954545454545,167.66,2004-03-13 09:00:00
13/03/2004,10.00.00,3.2,160.0,12.9,470.0,126.0,12.4,51.2,0.7335,0.0,88,11.4,869.4,1027.5,11.6,32.0,130.4,160.47333333333333,129.25766871165644,65.47727272727272,160.47333333333333,2004-03-13 10:00:00
13/03/2004,11.00.00,4.1,283.0,16.1,556.48,158.0,15.6,42.2,0.7451,0.0,90,13.1,960.5,1027.0,12.7,41.0,171.335,170.92666666666668,137.92335378323108,83.29545454545453,171.335,2004-03-13 11:00:00
13/03/2004,12.00.00,3.6,210.0,14.0,449.32,161.0,18.4,33.8,0.709,0.0,79,13.4,983.2,1026.6,13.5,36.0,153.45,164.06666666666666,127.18543967280164,84.9659090909091,164.06666666666666,2004-03-13 12:00:00
13/03/2004,13.00.00,2.8,154.0,12.3,287.64,124.0,19.4,31.3,0.695,0.0,72,13.5,935.9,1025.8,14.0,28.0,127.46000000000001,158.51333333333332,110.9843762781186,64.36363636363636,158.51333333333332,2004-03-13 13:00:00
13/03/2004,14.00.00,2.0,112.0,8.6,221.83999999999997,102.0,18.0,34.8,0.7127,0.0,86,13.3,821.9,1026.0,13.9,20.0,106.88,136.28,104.39092024539877,52.11363636363637,136.28,2004-03-13 14:00:00
13/03/2004,15.00.00,2.0,108.0,9.2,223.72,116.0,18.4,33.6,0.7042,0.0,77,13.0,649.0,1026.1,13.3,20.0,104.92,142.16,104.57930470347648,59.90909090909091,142.16,2004-03-13 15:00:00
13/03/2004,16.00.00,2.5,111.0,10.2,259.44,124.0,17.6,35.1,0.7012,0.0,73,9.9,428.9,1026.5,12.6,25.0,106.39,151.65333333333334,108.15860940695296,64.36363636363636,151.65333333333334,2004-03-13 16:00:00
13/03/2004,17.00.00,2.3,97.0,10.6,278.24,125.0,16.7,37.8,0.7117,0.0,85,8.3,176.8,1026.9,11.6,23.0,97.06,152.96,110.04245398773006,64.92045454545455,152.96,2004-03-13 17:00:00
13/03/2004,18.00.00,3.2,191.0,15.5,426.76,148.0,16.1,41.0,0.7451,0.0,99,9.7,12.1,1027.0,10.8,32.0,145.59,168.96666666666667,124.92482617586911,77.72727272727272,168.96666666666667,2004-03-13 18:00:00
13/03/2004,19.00.00,4.2,258.0,19.6,520.76,165.0,15.8,42.4,0.7569,0.0,98,8.9,0.0,1027.3,10.0,42.0,165.21,182.36,134.3440490797546,87.19318181818181,182.36,2004-03-13 19:00:00
13/03/2004,20.00.00,4.2,284.0,19.2,524.52,161.0,15.7,44.1,0.7786,0.0,100,6.3,0.0,1027.5,9.4,42.0,171.57999999999998,181.05333333333334,134.72081799591,84.9659090909091,181.05333333333334,2004-03-13 20:00:00
13/03/2004,21.00.00,4.2,269.0,18.3,532.04,159.0,15.3,46.8,0.8091,0.0,98,4.3,0.0,1028.0,8.7,42.0,167.905,178.11333333333334,135.47435582822084,83.85227272727272,178.11333333333334,2004-03-13 21:00:00
13/03/2004,22.00.00,3.1,180.0,13.1,402.32,143.0,14.6,48.6,0.806,0.0,99,4.0,0.0,1028.8,8.1,31.0,140.2,161.12666666666667,122.47582822085889,74.94318181818181,161.12666666666667,2004-03-13 22:00:00
13/03/2004,23.00.00,2.6,116.0,10.9,323.35999999999996,130.0,14.7,49.3,0.8193,0.0,100,4.3,0.0,1029.1,7.7,26.0,108.84,153.94,114.56368098159508,67.70454545454545,153.94,2004-03-13 23:00:00
14/03/2004,00.00.00,2.9,93.0,11.0,357.2,129.0,13.9,53.6,0.8498,0.0,99,5.0,0.0,1028.9,7.4,29.0,93.14,154.26666666666668,117.95460122699386,67.14772727272727,154.26666666666668,2004-03-14 00:00:00
14/03/2004,01.00.00,2.8,131.0,11.9,327.12,119.0,14.6,51.5,0.8536,0.0,99,4.6,0.0,1028.9,7.1,28.0,116.19,157.20666666666668,114.94044989775051,61.57954545454545,157.20666666666668,2004-03-14 01:00:00
14/03/2004,02.00.00,2.5,92.0,8.6,240.64,104.0,12.5,58.9,0.8537,0.0,98,4.0,0.0,1028.5,6.8,25.0,92.16,136.28,106.27476482617587,53.22727272727273,136.28,2004-03-14 02:00:00
14/03/2004,03.00.00,2.4,132.0,9.7,0.0,0.0,11.6,63.4,0.8674,0.0,91,4.0,0.0,1028.7,6.5,24.0,116.68,147.06,0.0,0.0,147.06,2004-03-14 03:00:00
14/03/2004,04.00.00,0.0,56.0,5.2,131.6,82.0,12.1,61.1,0.8603,0.0,95,4.0,0.0,1029.0,6.1,0.0,56.88,102.96000000000001,68.59545454545454,41.0,102.96000000000001,2004-03-14 04:00:00
14/03/2004,05.00.00,1.2,32.0,3.7,99.64,70.0,11.5,63.1,0.8533,0.0,98,4.1,0.0,1029.5,5.8,12.0,32.0,78.76666666666667,49.82,35.0,78.76666666666667,2004-03-14 05:00:00
14/03/2004,06.00.00,1.0,29.0,2.5,82.72,63.0,11.6,62.2,0.8473,0.0,94,4.2,62.8,1029.8,5.7,10.0,29.0,59.166666666666664,41.36,31.5,59.166666666666664,2004-03-14 06:00:00
14/03/2004,07.00.00,0.9,27.0,2.4,139.12,67.0,10.4,67.6,0.853,0.0,93,4.9,275.4,1030.1,7.2,9.0,27.0,57.53333333333333,72.78272727272727,33.5,72.78272727272727,2004-03-14 07:00:00
14/03/2004,08.00.00,1.4,36.0,4.2,189.88,84.0,11.6,62.7,0.853,0.0,99,2.9,518.2,1030.6,10.5,14.0,36.0,86.93333333333334,101.1883844580777,42.0,101.1883844580777,2004-03-14 08:00:00
14/03/2004,09.00.00,1.6,57.0,6.4,221.83999999999997,83.0,12.4,60.0,0.8627,0.0,99,5.2,723.1,1031.1,12.4,16.0,57.86,114.72,104.39092024539877,41.5,114.72,2004-03-14 09:00:00
14/03/2004,10.00.00,2.2,129.0,8.6,270.71999999999997,98.0,14.5,53.1,0.8728,0.0,99,4.1,876.2,1031.0,13.9,22.0,115.21,136.28,109.28891615541922,49.0,136.28,2004-03-14 10:00:00
14/03/2004,11.00.00,2.8,148.0,10.9,330.88,114.0,16.9,46.1,0.8789,0.0,99,5.7,966.9,1031.3,15.0,28.0,124.52,153.94,115.31721881390592,58.79545454545455,153.94,2004-03-14 11:00:00
14/03/2004,12.00.00,2.8,145.0,10.7,302.68,119.0,19.3,38.3,0.8474,0.0,100,6.6,989.3,1031.1,15.5,28.0,123.05,153.28666666666666,112.49145194274028,61.57954545454545,153.28666666666666,2004-03-14 12:00:00
14/03/2004,13.00.00,2.0,93.0,7.5,212.44,104.0,21.2,31.4,0.7812,0.0,99,7.6,941.7,1031.0,15.9,20.0,93.14,125.5,103.44899795501023,53.22727272727273,125.5,2004-03-14 13:00:00
14/03/2004,14.00.00,1.8,84.0,7.5,193.64,102.0,21.4,30.2,0.7616,0.0,100,6.9,827.4,1030.6,15.8,18.0,84.32,125.5,101.56515337423313,52.11363636363637,125.5,2004-03-14 14:00:00
14/03/2004,15.00.00,1.9,99.0,8.2,210.56,107.0,21.9,29.0,0.7525,0.0,100,6.9,654.3,1030.4,15.3,19.0,99.02,132.35999999999999,103.26061349693252,54.89772727272727,132.35999999999999,2004-03-14 15:00:00
14/03/2004,16.00.00,3.0,150.0,11.9,319.59999999999997,129.0,22.2,28.4,0.7516,0.0,100,6.3,434.1,1030.4,14.4,30.0,125.5,157.20666666666668,114.18691206543967,67.14772727272727,157.20666666666668,2004-03-14 16:00:00
14/03/2004,17.00.00,2.9,156.0,12.0,338.4,128.0,21.3,30.8,0.7696,0.0,99,6.2,181.9,1030.6,13.1,29.0,128.44,157.53333333333333,116.07075664621676,66.5909090909091,157.53333333333333,2004-03-14 17:00:00
14/03/2004,18.00.00,2.5,122.0,12.2,300.79999999999995,121.0,19.7,36.7,0.8307,0.0,100,6.1,14.7,1031.1,11.9,25.0,111.78,158.18666666666667,112.30306748466258,62.69318181818181,158.18666666666667,2004-03-14 18:00:00
14/03/2004,19.00.00,4.6,262.0,20.6,490.67999999999995,157.0,18.4,41.7,0.8732,0.0,100,4.1,0.0,1031.6,10.6,46.0,166.19,185.62666666666667,131.32989775051124,82.73863636363636,185.62666666666667,2004-03-14 19:00:00
14/03/2004,20.00.00,5.9,341.0,23.1,611.0,173.0,17.6,46.1,0.921,0.0,100,2.9,0.0,1031.7,9.7,59.82000000000001,185.54500000000002,193.79333333333335,143.38650306748465,91.64772727272727,193.79333333333335,2004-03-14 20:00:00
14/03/2004,21.00.00,3.4,214.0,14.7,407.96,146.0,16.7,49.6,0.932,0.0,100,2.6,0.0,1032.0,9.1,34.0,154.43,166.35333333333332,123.04098159509202,76.61363636363636,166.35333333333332,2004-03-14 21:00:00
14/03/2004,22.00.00,2.1,100.0,9.0,274.47999999999996,121.0,16.3,51.0,0.9341,0.0,100,2.3,0.0,1032.5,8.6,21.0,100.0,140.2,109.66568507157464,62.69318181818181,140.2,2004-03-14 22:00:00
14/03/2004,23.00.00,2.2,79.0,8.8,285.76,119.0,14.7,55.9,0.9314,0.0,100,2.9,0.0,1032.7,8.3,22.0,79.42,138.24,110.7959918200409,61.57954545454545,138.24,2004-03-14 23:00:00
15/03/2004,00.00.00,1.8,66.0,7.4,195.51999999999998,99.0,14.8,54.7,0.9164,0.0,100,3.1,0.0,1032.2,8.4,18.0,66.68,124.52000000000001,101.75353783231084,49.5,124.52000000000001,2004-03-15 00:00:00
15/03/2004,01.00.00,1.8,73.0,6.9,199.28,93.0,14.0,57.0,0.9094,0.0,100,3.6,0.0,1032.4,8.6,18.0,73.53999999999999,119.62,102.13030674846625,46.5,119.62,2004-03-15 01:00:00
15/03/2004,02.00.00,1.8,66.0,7.0,203.04,88.0,13.4,61.3,0.9361,0.0,100,2.5,0.0,1031.6,8.6,18.0,66.68,120.6,102.50707566462168,44.0,120.6,2004-03-15 02:00:00
15/03/2004,03.00.00,1.1,44.0,4.4,0.0,0.0,12.6,63.5,0.923,0.0,100,2.8,0.0,1031.6,8.4,11.0,44.0,90.2,0.0,0.0,90.2,2004-03-15 03:00:00
15/03/2004,04.00.00,0.0,44.0,4.0,124.08,71.0,12.3,65.4,0.9351,0.0,99,2.5,0.0,1031.4,8.1,0.0,44.0,83.66666666666666,64.40818181818182,35.5,83.66666666666666,2004-03-15 04:00:00
15/03/2004,05.00.00,1.0,39.0,3.9,165.44,74.0,11.9,67.4,0.9375,0.0,99,2.3,0.0,1031.7,7.6,10.0,39.0,82.03333333333333,87.43818181818182,37.0,87.43818181818182,2004-03-15 05:00:00
15/03/2004,06.00.00,1.4,51.0,6.4,259.44,80.0,11.4,70.5,0.9475,0.0,99,2.3,66.5,1032.1,7.4,14.0,51.98,114.72,108.15860940695296,40.0,114.72,2004-03-15 06:00:00
15/03/2004,07.00.00,2.2,107.0,9.7,428.64,89.0,11.3,70.2,0.9401,0.0,97,3.4,282.8,1032.3,8.7,22.0,104.43,147.06,125.11321063394684,44.5,147.06,2004-03-15 07:00:00
15/03/2004,08.00.00,5.5,336.0,25.9,676.8,114.0,12.4,63.9,0.917,0.0,95,1.5,525.4,1032.7,11.6,55.9,184.32,209.91,149.9799591002045,58.79545454545455,209.91,2004-03-15 08:00:00
15/03/2004,09.00.00,8.1,618.0,36.7,898.64,149.0,14.8,54.3,0.9076,0.0,90,1.0,730.1,1032.7,13.8,81.38,254.95499999999998,316.83000000000004,170.96389705882353,78.2840909090909,316.83000000000004,2004-03-15 09:00:00
15/03/2004,10.00.00,5.8,438.0,26.6,740.7199999999999,157.0,17.4,45.6,0.8993,0.0,89,2.8,882.8,1032.7,15.5,58.839999999999996,210.405,216.84,156.73948529411763,82.73863636363636,216.84,2004-03-15 10:00:00
15/03/2004,11.00.00,4.2,334.0,20.1,599.7199999999999,155.0,19.8,38.5,0.8801,0.0,69,3.8,973.3,1032.5,16.7,42.0,183.82999999999998,183.99333333333334,142.2561963190184,81.625,183.99333333333334,2004-03-15 11:00:00
15/03/2004,12.00.00,3.1,221.0,14.1,377.88,134.0,22.0,34.1,0.8904,0.0,31,4.7,995.3,1032.1,17.4,31.0,156.145,164.39333333333335,120.02683026584867,69.93181818181819,164.39333333333335,2004-03-15 12:00:00
15/03/2004,13.00.00,2.9,207.0,14.9,321.47999999999996,119.0,23.3,32.2,0.9096,0.0,34,5.1,947.4,1031.7,17.7,29.0,152.715,167.00666666666666,114.37529652351738,61.57954545454545,167.00666666666666,2004-03-15 13:00:00
